Name: 大愛二台, URL: https://pulltv2.wanfudaluye.com/live/tv2.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 653 ms, Speed: 8.69 M/s, Resolution: 1280x720
Name: 大愛二台, URL: http://pulltv1.wanfudaluye.com/live/tv2.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 350 ms, Speed: 7.21 M/s, Resolution: 1280x720
Name: CNN, URL: https://jmp2.uk/sam-GBBD8000016N.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: -1 ms, Speed: inf M/s, Resolution: 1920x1080
Name: CNN, URL: https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: -1 ms, Speed: inf M/s, Resolution: 1920x1080
Name: 民視, URL: http://37.27.111.214:8080/live/6/hls.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 742 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 民視, URL: rtmp://f13h.mine.nu/sat/tv051$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: inf M/s, Resolution: 1280x720
Name: 民視, URL: http://aktv_stream1.m16tv.cfd/stream/taiwan/null-2/AKTV.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民視, URL: http://108.181.20.197/livehttpplay?channel_id=20074$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民視, URL: https://tv.iill.top/litv/4gtv-4gtv002$订阅源, IPv_Type: ipv6, Date: None, Delay: -1 ms, Speed: inf M/s, Resolution: 1920x1080
Name: 民視, URL: https://haoyunlai.serv00.net/Smartv-1.php?id=ftvhd_taiwan$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 民視, URL: http://211.72.65.236:8504/.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 人間衛視, URL: http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 136 ms, Speed: 0.35 M/s, Resolution: 1280x720
Name: 人間衛視, URL: https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 139 ms, Speed: 0.38 M/s, Resolution: 1280x720
Name: 人間衛視, URL: https://tv.iill.top/4gtv/210$订阅源, IPv_Type: ipv6, Date: None, Delay: -1 ms, Speed: inf M/s, Resolution: 1920x1080
Name: 人間衛視, URL: http://211.72.65.236:8506/.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
